algorithm,train_file,test_file,run_id,accuracy,mse,regret,train_size,seed
orthogonal_loss_learner_splitting.py,data/train_2000_0.pkl,data/test_2000_0.pkl,0,0.6623,9.3409,0.596,2000,0
orthogonal_loss_learner.py,data/train_2000_0.pkl,data/test_2000_0.pkl,0,0.6713,9.0651,0.5601,2000,0
orthogonal_loss_learner_ybyt.py,data/train_2000_0.pkl,data/test_2000_0.pkl,1,0.671,8.9337,0.5478,2000,0
orthogonal_loss_learner.py,data/train_2000_0.pkl,data/test_2000_0.pkl,2,0.6637,9.0415,0.5723,2000,0
orthogonal_loss_learner_ybyt.py,data/train_2000_0.pkl,data/test_2000_0.pkl,0,0.6677,9.0721,0.5523,2000,0
orthogonal_loss_learner.py,data/train_2000_0.pkl,data/test_2000_0.pkl,1,0.6647,9.0514,0.5682,2000,0
log_loss_learner.py,data/train_2000_1.pkl,data/test_2000_1.pkl,1,0.707,9.0836,0.3535,2000,1
nonorthogonal_loss_learner.py,data/train_2000_1.pkl,data/test_2000_1.pkl,1,0.697,7.3721,0.3974,2000,1
stupid_loss_learner.py,data/train_2000_1.pkl,data/test_2000_1.pkl,1,0.669,9.1073,0.4723,2000,1
orthogonal_loss_learner_splitting.py,data/train_2000_1.pkl,data/test_2000_1.pkl,0,0.696,7.241,0.4109,2000,1
stupid_loss_learner.py,data/train_2000_1.pkl,data/test_2000_1.pkl,2,0.685,9.2939,0.4724,2000,1
nonorthogonal_loss_learner.py,data/train_2000_1.pkl,data/test_2000_1.pkl,2,0.697,7.566,0.4057,2000,1
log_loss_learner.py,data/train_2000_1.pkl,data/test_2000_1.pkl,0,0.7117,8.9636,0.3354,2000,1
orthogonal_loss_learner_splitting.py,data/train_2000_1.pkl,data/test_2000_1.pkl,2,0.703,6.7194,0.3606,2000,1
nonorthogonal_loss_learner.py,data/train_2000_1.pkl,data/test_2000_1.pkl,0,0.6957,7.5328,0.4007,2000,1
orthogonal_loss_learner_splitting.py,data/train_2000_1.pkl,data/test_2000_1.pkl,1,0.695,7.1903,0.4017,2000,1
log_loss_learner.py,data/train_2000_1.pkl,data/test_2000_1.pkl,2,0.7083,9.0262,0.3538,2000,1
stupid_loss_learner.py,data/train_2000_1.pkl,data/test_2000_1.pkl,0,0.6913,9.2616,0.461,2000,1
orthogonal_loss_learner_ybyt.py,data/train_2000_1.pkl,data/test_2000_1.pkl,2,0.7177,6.439,0.3252,2000,1
orthogonal_loss_learner.py,data/train_2000_1.pkl,data/test_2000_1.pkl,1,0.713,6.5933,0.3377,2000,1
orthogonal_loss_learner_ybyt.py,data/train_2000_1.pkl,data/test_2000_1.pkl,1,0.7093,6.5589,0.3567,2000,1
orthogonal_loss_learner.py,data/train_2000_1.pkl,data/test_2000_1.pkl,2,0.712,6.5086,0.3477,2000,1
orthogonal_loss_learner_ybyt.py,data/train_2000_1.pkl,data/test_2000_1.pkl,0,0.708,6.6395,0.3639,2000,1
orthogonal_loss_learner.py,data/train_2000_1.pkl,data/test_2000_1.pkl,0,0.717,6.2755,0.3288,2000,1
log_loss_learner.py,data/train_2000_4.pkl,data/test_2000_4.pkl,1,0.7827,29.4163,0.4447,2000,4
nonorthogonal_loss_learner.py,data/train_2000_4.pkl,data/test_2000_4.pkl,1,0.7793,19.2064,0.468,2000,4
nonorthogonal_loss_learner.py,data/train_2000_4.pkl,data/test_2000_4.pkl,0,0.777,19.3501,0.4541,2000,4
log_loss_learner.py,data/train_2000_4.pkl,data/test_2000_4.pkl,2,0.7877,29.3725,0.4311,2000,4
log_loss_learner.py,data/train_2000_4.pkl,data/test_2000_4.pkl,0,0.786,29.2587,0.4251,2000,4
orthogonal_loss_learner_splitting.py,data/train_2000_4.pkl,data/test_2000_4.pkl,2,0.7747,17.1189,0.4672,2000,4
orthogonal_loss_learner_splitting.py,data/train_2000_4.pkl,data/test_2000_4.pkl,1,0.7703,17.3716,0.4863,2000,4
nonorthogonal_loss_learner.py,data/train_2000_4.pkl,data/test_2000_4.pkl,2,0.7773,21.5418,0.4733,2000,4
stupid_loss_learner.py,data/train_2000_4.pkl,data/test_2000_4.pkl,0,0.7457,31.4482,0.6594,2000,4
orthogonal_loss_learner_ybyt.py,data/train_2000_4.pkl,data/test_2000_4.pkl,1,0.7907,13.7252,0.409,2000,4
stupid_loss_learner.py,data/train_2000_4.pkl,data/test_2000_4.pkl,2,0.7383,30.8505,0.7176,2000,4
stupid_loss_learner.py,data/train_2000_4.pkl,data/test_2000_4.pkl,1,0.7537,30.3868,0.5686,2000,4
orthogonal_loss_learner_splitting.py,data/train_2000_4.pkl,data/test_2000_4.pkl,0,0.7757,17.789,0.4972,2000,4
orthogonal_loss_learner_ybyt.py,data/train_2000_4.pkl,data/test_2000_4.pkl,2,0.785,14.1646,0.4271,2000,4
orthogonal_loss_learner.py,data/train_2000_4.pkl,data/test_2000_4.pkl,1,0.796,13.8386,0.4022,2000,4
orthogonal_loss_learner.py,data/train_2000_4.pkl,data/test_2000_4.pkl,2,0.7963,13.8976,0.3961,2000,4
orthogonal_loss_learner.py,data/train_2000_4.pkl,data/test_2000_4.pkl,0,0.789,13.8239,0.4291,2000,4
orthogonal_loss_learner_ybyt.py,data/train_2000_4.pkl,data/test_2000_4.pkl,0,0.7907,14.1765,0.4305,2000,4
log_loss_learner.py,data/train_3000_2.pkl,data/test_3000_2.pkl,0,0.7653,20.476,0.4384,3000,2
log_loss_learner.py,data/train_3000_2.pkl,data/test_3000_2.pkl,2,0.761,20.4556,0.4529,3000,2
log_loss_learner.py,data/train_3000_2.pkl,data/test_3000_2.pkl,1,0.7673,20.3,0.4519,3000,2
stupid_loss_learner.py,data/train_3000_2.pkl,data/test_3000_2.pkl,0,0.7543,18.1764,0.4973,3000,2
nonorthogonal_loss_learner.py,data/train_3000_2.pkl,data/test_3000_2.pkl,0,0.7583,14.4845,0.4696,3000,2
nonorthogonal_loss_learner.py,data/train_3000_2.pkl,data/test_3000_2.pkl,1,0.7577,13.9004,0.4772,3000,2
nonorthogonal_loss_learner.py,data/train_3000_2.pkl,data/test_3000_2.pkl,2,0.7503,14.4254,0.5036,3000,2
orthogonal_loss_learner_splitting.py,data/train_3000_2.pkl,data/test_3000_2.pkl,1,0.759,12.8649,0.479,3000,2
stupid_loss_learner.py,data/train_3000_2.pkl,data/test_3000_2.pkl,2,0.7473,19.0421,0.5075,3000,2
orthogonal_loss_learner_splitting.py,data/train_3000_2.pkl,data/test_3000_2.pkl,2,0.7517,13.3943,0.4992,3000,2
stupid_loss_learner.py,data/train_3000_2.pkl,data/test_3000_2.pkl,1,0.7437,19.3443,0.5422,3000,2
orthogonal_loss_learner_splitting.py,data/train_3000_2.pkl,data/test_3000_2.pkl,0,0.755,12.895,0.4855,3000,2
orthogonal_loss_learner.py,data/train_3000_2.pkl,data/test_3000_2.pkl,0,0.7713,11.6545,0.436,3000,2
orthogonal_loss_learner.py,data/train_3000_2.pkl,data/test_3000_2.pkl,1,0.7717,12.1693,0.4359,3000,2
orthogonal_loss_learner.py,data/train_3000_2.pkl,data/test_3000_2.pkl,2,0.7677,12.2075,0.4432,3000,2
orthogonal_loss_learner_ybyt.py,data/train_3000_2.pkl,data/test_3000_2.pkl,1,0.769,11.888,0.4212,3000,2
orthogonal_loss_learner_ybyt.py,data/train_3000_2.pkl,data/test_3000_2.pkl,2,0.769,11.6826,0.4211,3000,2
orthogonal_loss_learner_ybyt.py,data/train_3000_2.pkl,data/test_3000_2.pkl,0,0.7657,12.1042,0.4429,3000,2
orthogonal_loss_learner_splitting.py,data/train_3000_0.pkl,data/test_3000_0.pkl,0,0.6593,9.2133,0.56,3000,0
stupid_loss_learner.py,data/train_3000_0.pkl,data/test_3000_0.pkl,2,0.65,10.6583,0.6089,3000,0
log_loss_learner.py,data/train_3000_0.pkl,data/test_3000_0.pkl,2,0.662,10.8036,0.5432,3000,0
nonorthogonal_loss_learner.py,data/train_3000_0.pkl,data/test_3000_0.pkl,2,0.6633,9.4914,0.5642,3000,0
log_loss_learner.py,data/train_3000_0.pkl,data/test_3000_0.pkl,1,0.6633,10.7972,0.5469,3000,0
nonorthogonal_loss_learner.py,data/train_3000_0.pkl,data/test_3000_0.pkl,0,0.658,9.5947,0.566,3000,0
stupid_loss_learner.py,data/train_3000_0.pkl,data/test_3000_0.pkl,0,0.6487,10.7842,0.6178,3000,0
nonorthogonal_loss_learner.py,data/train_3000_0.pkl,data/test_3000_0.pkl,1,0.6653,9.1376,0.5307,3000,0
log_loss_learner.py,data/train_3000_0.pkl,data/test_3000_0.pkl,0,0.6523,10.7312,0.5508,3000,0
orthogonal_loss_learner_splitting.py,data/train_3000_0.pkl,data/test_3000_0.pkl,2,0.6657,9.1822,0.5421,3000,0
stupid_loss_learner.py,data/train_3000_0.pkl,data/test_3000_0.pkl,1,0.6713,10.5473,0.5561,3000,0
orthogonal_loss_learner_splitting.py,data/train_3000_0.pkl,data/test_3000_0.pkl,1,0.6587,9.2172,0.5665,3000,0
orthogonal_loss_learner_ybyt.py,data/train_3000_0.pkl,data/test_3000_0.pkl,0,0.6723,8.6544,0.5131,3000,0
orthogonal_loss_learner.py,data/train_3000_0.pkl,data/test_3000_0.pkl,1,0.6713,8.6834,0.4915,3000,0
orthogonal_loss_learner.py,data/train_3000_0.pkl,data/test_3000_0.pkl,2,0.6693,8.9883,0.5196,3000,0
orthogonal_loss_learner_ybyt.py,data/train_3000_0.pkl,data/test_3000_0.pkl,2,0.6757,8.5421,0.4912,3000,0
orthogonal_loss_learner.py,data/train_3000_0.pkl,data/test_3000_0.pkl,0,0.6687,8.7979,0.5072,3000,0
orthogonal_loss_learner_ybyt.py,data/train_3000_0.pkl,data/test_3000_0.pkl,1,0.674,8.6145,0.5038,3000,0
orthogonal_loss_learner_splitting.py,data/train_3000_1.pkl,data/test_3000_1.pkl,0,0.7207,6.56,0.3511,3000,1
orthogonal_loss_learner_splitting.py,data/train_3000_1.pkl,data/test_3000_1.pkl,1,0.7123,6.7274,0.3707,3000,1
log_loss_learner.py,data/train_3000_1.pkl,data/test_3000_1.pkl,0,0.722,9.0086,0.3345,3000,1
log_loss_learner.py,data/train_3000_1.pkl,data/test_3000_1.pkl,2,0.7217,9.0167,0.3424,3000,1
stupid_loss_learner.py,data/train_3000_1.pkl,data/test_3000_1.pkl,2,0.6903,8.9479,0.4365,3000,1
stupid_loss_learner.py,data/train_3000_1.pkl,data/test_3000_1.pkl,0,0.7013,9.0122,0.4212,3000,1
nonorthogonal_loss_learner.py,data/train_3000_1.pkl,data/test_3000_1.pkl,2,0.716,7.0224,0.363,3000,1
nonorthogonal_loss_learner.py,data/train_3000_1.pkl,data/test_3000_1.pkl,0,0.7133,7.1639,0.3602,3000,1
nonorthogonal_loss_learner.py,data/train_3000_1.pkl,data/test_3000_1.pkl,1,0.7117,7.0032,0.3836,3000,1
orthogonal_loss_learner_splitting.py,data/train_3000_1.pkl,data/test_3000_1.pkl,2,0.7153,6.7232,0.3522,3000,1
stupid_loss_learner.py,data/train_3000_1.pkl,data/test_3000_1.pkl,1,0.7017,9.1147,0.4064,3000,1
log_loss_learner.py,data/train_3000_1.pkl,data/test_3000_1.pkl,1,0.723,9.035,0.3434,3000,1
orthogonal_loss_learner.py,data/train_3000_1.pkl,data/test_3000_1.pkl,0,0.7253,6.1088,0.3145,3000,1
orthogonal_loss_learner_ybyt.py,data/train_3000_1.pkl,data/test_3000_1.pkl,1,0.728,6.0791,0.3185,3000,1
orthogonal_loss_learner.py,data/train_3000_1.pkl,data/test_3000_1.pkl,1,0.7257,6.0073,0.3172,3000,1
orthogonal_loss_learner_ybyt.py,data/train_3000_1.pkl,data/test_3000_1.pkl,0,0.7277,6.0557,0.3145,3000,1
orthogonal_loss_learner_ybyt.py,data/train_3000_1.pkl,data/test_3000_1.pkl,2,0.7203,6.2921,0.3295,3000,1
orthogonal_loss_learner.py,data/train_3000_1.pkl,data/test_3000_1.pkl,2,0.727,6.1788,0.3107,3000,1
orthogonal_loss_learner_splitting.py,data/train_3000_3.pkl,data/test_3000_3.pkl,0,0.7523,11.9618,0.4644,3000,3
log_loss_learner.py,data/train_3000_3.pkl,data/test_3000_3.pkl,0,0.7583,19.1664,0.4275,3000,3
stupid_loss_learner.py,data/train_3000_3.pkl,data/test_3000_3.pkl,2,0.725,19.0309,0.5821,3000,3
orthogonal_loss_learner_splitting.py,data/train_3000_3.pkl,data/test_3000_3.pkl,2,0.7503,11.9422,0.4636,3000,3
nonorthogonal_loss_learner.py,data/train_3000_3.pkl,data/test_3000_3.pkl,2,0.7397,13.594,0.494,3000,3
nonorthogonal_loss_learner.py,data/train_3000_3.pkl,data/test_3000_3.pkl,0,0.752,13.7434,0.4712,3000,3
orthogonal_loss_learner_splitting.py,data/train_3000_3.pkl,data/test_3000_3.pkl,1,0.7467,13.2047,0.487,3000,3
stupid_loss_learner.py,data/train_3000_3.pkl,data/test_3000_3.pkl,1,0.738,18.6374,0.5313,3000,3
log_loss_learner.py,data/train_3000_3.pkl,data/test_3000_3.pkl,1,0.7557,19.0071,0.4437,3000,3
log_loss_learner.py,data/train_3000_3.pkl,data/test_3000_3.pkl,2,0.756,19.1044,0.431,3000,3
nonorthogonal_loss_learner.py,data/train_3000_3.pkl,data/test_3000_3.pkl,1,0.744,12.9005,0.4747,3000,3
stupid_loss_learner.py,data/train_3000_3.pkl,data/test_3000_3.pkl,0,0.7347,18.7153,0.5368,3000,3
orthogonal_loss_learner.py,data/train_3000_3.pkl,data/test_3000_3.pkl,2,0.7567,11.5372,0.4254,3000,3
orthogonal_loss_learner.py,data/train_3000_3.pkl,data/test_3000_3.pkl,1,0.7547,11.4967,0.4313,3000,3
orthogonal_loss_learner_ybyt.py,data/train_3000_3.pkl,data/test_3000_3.pkl,0,0.7617,11.4535,0.4296,3000,3
orthogonal_loss_learner_ybyt.py,data/train_3000_3.pkl,data/test_3000_3.pkl,1,0.7587,11.4251,0.4375,3000,3
orthogonal_loss_learner_ybyt.py,data/train_3000_3.pkl,data/test_3000_3.pkl,2,0.754,11.6123,0.4547,3000,3
orthogonal_loss_learner.py,data/train_3000_3.pkl,data/test_3000_3.pkl,0,0.7613,11.3064,0.4405,3000,3
stupid_loss_learner.py,data/train_3000_4.pkl,data/test_3000_4.pkl,0,0.777,24.8612,0.4889,3000,4
nonorthogonal_loss_learner.py,data/train_3000_4.pkl,data/test_3000_4.pkl,0,0.783,20.534,0.4488,3000,4
stupid_loss_learner.py,data/train_3000_4.pkl,data/test_3000_4.pkl,2,0.7733,24.2653,0.491,3000,4
orthogonal_loss_learner_splitting.py,data/train_3000_4.pkl,data/test_3000_4.pkl,1,0.7887,14.7982,0.409,3000,4
orthogonal_loss_learner_splitting.py,data/train_3000_4.pkl,data/test_3000_4.pkl,2,0.785,14.5587,0.4167,3000,4
stupid_loss_learner.py,data/train_3000_4.pkl,data/test_3000_4.pkl,1,0.7757,24.6898,0.4901,3000,4
nonorthogonal_loss_learner.py,data/train_3000_4.pkl,data/test_3000_4.pkl,1,0.7943,19.829,0.406,3000,4
nonorthogonal_loss_learner.py,data/train_3000_4.pkl,data/test_3000_4.pkl,2,0.7877,18.3606,0.4163,3000,4
log_loss_learner.py,data/train_3000_4.pkl,data/test_3000_4.pkl,2,0.795,28.1393,0.3976,3000,4
orthogonal_loss_learner_splitting.py,data/train_3000_4.pkl,data/test_3000_4.pkl,0,0.7817,15.7964,0.4327,3000,4
log_loss_learner.py,data/train_3000_4.pkl,data/test_3000_4.pkl,1,0.7943,28.4068,0.3931,3000,4
log_loss_learner.py,data/train_3000_4.pkl,data/test_3000_4.pkl,0,0.791,28.1916,0.4052,3000,4
orthogonal_loss_learner.py,data/train_3000_4.pkl,data/test_3000_4.pkl,2,0.796,13.6138,0.3808,3000,4
orthogonal_loss_learner_ybyt.py,data/train_3000_4.pkl,data/test_3000_4.pkl,1,0.7897,14.185,0.418,3000,4
orthogonal_loss_learner.py,data/train_3000_4.pkl,data/test_3000_4.pkl,1,0.7977,13.3255,0.3772,3000,4
orthogonal_loss_learner.py,data/train_3000_4.pkl,data/test_3000_4.pkl,0,0.7877,13.2982,0.4101,3000,4
orthogonal_loss_learner_ybyt.py,data/train_3000_4.pkl,data/test_3000_4.pkl,2,0.7883,13.6302,0.403,3000,4
orthogonal_loss_learner_ybyt.py,data/train_3000_4.pkl,data/test_3000_4.pkl,0,0.792,14.1371,0.4066,3000,4
log_loss_learner.py,data/train_5000_2.pkl,data/test_5000_2.pkl,0,0.7703,19.9998,0.4273,5000,2
orthogonal_loss_learner_splitting.py,data/train_5000_2.pkl,data/test_5000_2.pkl,2,0.7633,12.6858,0.4729,5000,2
stupid_loss_learner.py,data/train_5000_2.pkl,data/test_5000_2.pkl,0,0.7513,19.7586,0.513,5000,2
log_loss_learner.py,data/train_5000_2.pkl,data/test_5000_2.pkl,2,0.7707,20.1224,0.427,5000,2
nonorthogonal_loss_learner.py,data/train_5000_2.pkl,data/test_5000_2.pkl,0,0.7723,13.1807,0.4234,5000,2
nonorthogonal_loss_learner.py,data/train_5000_2.pkl,data/test_5000_2.pkl,1,0.7627,13.3857,0.4446,5000,2
log_loss_learner.py,data/train_5000_2.pkl,data/test_5000_2.pkl,1,0.7677,20.079,0.4327,5000,2
orthogonal_loss_learner_splitting.py,data/train_5000_2.pkl,data/test_5000_2.pkl,1,0.766,12.4804,0.4593,5000,2
stupid_loss_learner.py,data/train_5000_2.pkl,data/test_5000_2.pkl,2,0.7457,19.7909,0.5383,5000,2
nonorthogonal_loss_learner.py,data/train_5000_2.pkl,data/test_5000_2.pkl,2,0.765,12.83,0.4614,5000,2
stupid_loss_learner.py,data/train_5000_2.pkl,data/test_5000_2.pkl,1,0.7533,19.6094,0.5077,5000,2
orthogonal_loss_learner_splitting.py,data/train_5000_2.pkl,data/test_5000_2.pkl,0,0.7673,12.255,0.4544,5000,2
orthogonal_loss_learner_ybyt.py,data/train_5000_2.pkl,data/test_5000_2.pkl,0,0.7783,11.1297,0.4101,5000,2
orthogonal_loss_learner.py,data/train_5000_2.pkl,data/test_5000_2.pkl,1,0.775,11.5625,0.3983,5000,2
orthogonal_loss_learner_ybyt.py,data/train_5000_2.pkl,data/test_5000_2.pkl,2,0.7737,11.5845,0.413,5000,2
orthogonal_loss_learner.py,data/train_5000_2.pkl,data/test_5000_2.pkl,2,0.774,11.7282,0.4125,5000,2
orthogonal_loss_learner_ybyt.py,data/train_5000_2.pkl,data/test_5000_2.pkl,1,0.773,11.3184,0.4162,5000,2
orthogonal_loss_learner.py,data/train_5000_2.pkl,data/test_5000_2.pkl,0,0.7763,11.6542,0.3937,5000,2
orthogonal_loss_learner_splitting.py,data/train_5000_1.pkl,data/test_5000_1.pkl,0,0.716,6.2654,0.3399,5000,1
stupid_loss_learner.py,data/train_5000_1.pkl,data/test_5000_1.pkl,0,0.7013,8.6254,0.3715,5000,1
stupid_loss_learner.py,data/train_5000_1.pkl,data/test_5000_1.pkl,1,0.706,8.5056,0.3633,5000,1
nonorthogonal_loss_learner.py,data/train_5000_1.pkl,data/test_5000_1.pkl,1,0.7173,6.5687,0.3298,5000,1
orthogonal_loss_learner_splitting.py,data/train_5000_1.pkl,data/test_5000_1.pkl,2,0.7203,6.2148,0.3169,5000,1
nonorthogonal_loss_learner.py,data/train_5000_1.pkl,data/test_5000_1.pkl,2,0.7147,6.6196,0.337,5000,1
stupid_loss_learner.py,data/train_5000_1.pkl,data/test_5000_1.pkl,2,0.7027,8.1755,0.3789,5000,1
log_loss_learner.py,data/train_5000_1.pkl,data/test_5000_1.pkl,1,0.7207,8.8197,0.3144,5000,1
orthogonal_loss_learner_splitting.py,data/train_5000_1.pkl,data/test_5000_1.pkl,1,0.7203,6.1457,0.316,5000,1
log_loss_learner.py,data/train_5000_1.pkl,data/test_5000_1.pkl,0,0.7253,8.7247,0.2964,5000,1
log_loss_learner.py,data/train_5000_1.pkl,data/test_5000_1.pkl,2,0.729,8.5935,0.2856,5000,1
nonorthogonal_loss_learner.py,data/train_5000_1.pkl,data/test_5000_1.pkl,0,0.7127,7.1104,0.3479,5000,1
orthogonal_loss_learner_ybyt.py,data/train_5000_1.pkl,data/test_5000_1.pkl,0,0.7223,5.8841,0.3039,5000,1
orthogonal_loss_learner.py,data/train_5000_1.pkl,data/test_5000_1.pkl,2,0.734,5.5993,0.2786,5000,1
orthogonal_loss_learner_ybyt.py,data/train_5000_1.pkl,data/test_5000_1.pkl,2,0.729,5.7795,0.2926,5000,1
orthogonal_loss_learner_ybyt.py,data/train_5000_1.pkl,data/test_5000_1.pkl,1,0.736,5.676,0.2782,5000,1
orthogonal_loss_learner.py,data/train_5000_1.pkl,data/test_5000_1.pkl,0,0.7293,5.8995,0.2906,5000,1
orthogonal_loss_learner.py,data/train_5000_1.pkl,data/test_5000_1.pkl,1,0.7297,6.1595,0.2896,5000,1
log_loss_learner.py,data/train_5000_0.pkl,data/test_5000_0.pkl,0,0.6853,10.4987,0.5134,5000,0
nonorthogonal_loss_learner.py,data/train_5000_0.pkl,data/test_5000_0.pkl,1,0.688,8.993,0.5023,5000,0
stupid_loss_learner.py,data/train_5000_0.pkl,data/test_5000_0.pkl,0,0.6773,10.1563,0.5545,5000,0
orthogonal_loss_learner_splitting.py,data/train_5000_0.pkl,data/test_5000_0.pkl,2,0.6757,8.8992,0.5614,5000,0
nonorthogonal_loss_learner.py,data/train_5000_0.pkl,data/test_5000_0.pkl,0,0.684,8.7531,0.5179,5000,0
stupid_loss_learner.py,data/train_5000_0.pkl,data/test_5000_0.pkl,2,0.6767,10.1308,0.5486,5000,0
stupid_loss_learner.py,data/train_5000_0.pkl,data/test_5000_0.pkl,1,0.6807,9.9947,0.5312,5000,0
nonorthogonal_loss_learner.py,data/train_5000_0.pkl,data/test_5000_0.pkl,2,0.686,8.8808,0.5374,5000,0
orthogonal_loss_learner_splitting.py,data/train_5000_0.pkl,data/test_5000_0.pkl,1,0.6797,8.8059,0.5468,5000,0
log_loss_learner.py,data/train_5000_0.pkl,data/test_5000_0.pkl,2,0.6847,10.4138,0.5149,5000,0
log_loss_learner.py,data/train_5000_0.pkl,data/test_5000_0.pkl,1,0.687,10.4368,0.5299,5000,0
orthogonal_loss_learner_splitting.py,data/train_5000_0.pkl,data/test_5000_0.pkl,0,0.6757,8.7879,0.5476,5000,0
orthogonal_loss_learner.py,data/train_5000_0.pkl,data/test_5000_0.pkl,2,0.6967,8.3704,0.483,5000,0
orthogonal_loss_learner.py,data/train_5000_0.pkl,data/test_5000_0.pkl,0,0.695,8.4083,0.4973,5000,0
orthogonal_loss_learner.py,data/train_5000_0.pkl,data/test_5000_0.pkl,1,0.6963,8.5649,0.4927,5000,0
orthogonal_loss_learner_ybyt.py,data/train_5000_0.pkl,data/test_5000_0.pkl,1,0.695,8.3309,0.4935,5000,0
orthogonal_loss_learner_ybyt.py,data/train_5000_0.pkl,data/test_5000_0.pkl,2,0.699,8.1391,0.4694,5000,0
orthogonal_loss_learner_ybyt.py,data/train_5000_0.pkl,data/test_5000_0.pkl,0,0.7053,7.982,0.4618,5000,0
log_loss_learner.py,data/train_5000_4.pkl,data/test_5000_4.pkl,0,0.8,28.0077,0.3828,5000,4
nonorthogonal_loss_learner.py,data/train_5000_4.pkl,data/test_5000_4.pkl,0,0.79,17.3546,0.4283,5000,4
log_loss_learner.py,data/train_5000_4.pkl,data/test_5000_4.pkl,1,0.7943,28.1987,0.3959,5000,4
nonorthogonal_loss_learner.py,data/train_5000_4.pkl,data/test_5000_4.pkl,1,0.7963,17.4548,0.3941,5000,4
stupid_loss_learner.py,data/train_5000_4.pkl,data/test_5000_4.pkl,0,0.793,23.3317,0.4183,5000,4
nonorthogonal_loss_learner.py,data/train_5000_4.pkl,data/test_5000_4.pkl,2,0.794,16.8173,0.4253,5000,4
stupid_loss_learner.py,data/train_5000_4.pkl,data/test_5000_4.pkl,2,0.7867,23.1431,0.4298,5000,4
stupid_loss_learner.py,data/train_5000_4.pkl,data/test_5000_4.pkl,1,0.7847,23.796,0.4575,5000,4
log_loss_learner.py,data/train_5000_4.pkl,data/test_5000_4.pkl,2,0.8017,27.9549,0.3847,5000,4
orthogonal_loss_learner_splitting.py,data/train_5000_4.pkl,data/test_5000_4.pkl,1,0.797,13.8543,0.3924,5000,4
orthogonal_loss_learner_splitting.py,data/train_5000_4.pkl,data/test_5000_4.pkl,2,0.7963,14.4841,0.3985,5000,4
orthogonal_loss_learner_splitting.py,data/train_5000_4.pkl,data/test_5000_4.pkl,0,0.7997,13.487,0.3896,5000,4
orthogonal_loss_learner.py,data/train_5000_4.pkl,data/test_5000_4.pkl,1,0.8053,12.9849,0.3768,5000,4
orthogonal_loss_learner_ybyt.py,data/train_5000_4.pkl,data/test_5000_4.pkl,1,0.7993,12.8743,0.3934,5000,4
orthogonal_loss_learner_ybyt.py,data/train_5000_4.pkl,data/test_5000_4.pkl,2,0.801,12.5945,0.3725,5000,4
orthogonal_loss_learner.py,data/train_5000_4.pkl,data/test_5000_4.pkl,0,0.7993,12.9154,0.3724,5000,4
orthogonal_loss_learner.py,data/train_5000_4.pkl,data/test_5000_4.pkl,2,0.8083,12.6214,0.3599,5000,4
orthogonal_loss_learner_ybyt.py,data/train_5000_4.pkl,data/test_5000_4.pkl,0,0.7987,12.6471,0.3754,5000,4
stupid_loss_learner.py,data/train_5000_3.pkl,data/test_5000_3.pkl,2,0.7397,17.5539,0.5168,5000,3
log_loss_learner.py,data/train_5000_3.pkl,data/test_5000_3.pkl,0,0.7677,18.7789,0.3908,5000,3
nonorthogonal_loss_learner.py,data/train_5000_3.pkl,data/test_5000_3.pkl,0,0.7533,13.5483,0.4651,5000,3
stupid_loss_learner.py,data/train_5000_3.pkl,data/test_5000_3.pkl,0,0.7333,18.0364,0.5456,5000,3
log_loss_learner.py,data/train_5000_3.pkl,data/test_5000_3.pkl,2,0.7587,18.9068,0.426,5000,3
stupid_loss_learner.py,data/train_5000_3.pkl,data/test_5000_3.pkl,1,0.7403,18.5257,0.5199,5000,3
nonorthogonal_loss_learner.py,data/train_5000_3.pkl,data/test_5000_3.pkl,1,0.7587,12.7463,0.4329,5000,3
nonorthogonal_loss_learner.py,data/train_5000_3.pkl,data/test_5000_3.pkl,2,0.7537,12.8188,0.4466,5000,3
orthogonal_loss_learner_splitting.py,data/train_5000_3.pkl,data/test_5000_3.pkl,1,0.7603,11.364,0.4197,5000,3
orthogonal_loss_learner_splitting.py,data/train_5000_3.pkl,data/test_5000_3.pkl,2,0.753,11.8872,0.4636,5000,3
orthogonal_loss_learner_splitting.py,data/train_5000_3.pkl,data/test_5000_3.pkl,0,0.7537,11.8932,0.4446,5000,3
log_loss_learner.py,data/train_5000_3.pkl,data/test_5000_3.pkl,1,0.7683,18.7821,0.3787,5000,3
orthogonal_loss_learner.py,data/train_5000_3.pkl,data/test_5000_3.pkl,2,0.767,10.3785,0.3838,5000,3
orthogonal_loss_learner.py,data/train_5000_3.pkl,data/test_5000_3.pkl,0,0.769,10.7654,0.3903,5000,3
orthogonal_loss_learner.py,data/train_5000_3.pkl,data/test_5000_3.pkl,1,0.767,10.7174,0.3762,5000,3
orthogonal_loss_learner_ybyt.py,data/train_5000_3.pkl,data/test_5000_3.pkl,2,0.7693,10.3958,0.3805,5000,3
orthogonal_loss_learner_ybyt.py,data/train_5000_3.pkl,data/test_5000_3.pkl,1,0.757,11.0449,0.4169,5000,3
orthogonal_loss_learner_ybyt.py,data/train_5000_3.pkl,data/test_5000_3.pkl,0,0.7687,10.6093,0.3774,5000,3
log_loss_learner.py,data/train_7000_2.pkl,data/test_7000_2.pkl,0,0.7803,19.9087,0.3941,7000,2
log_loss_learner.py,data/train_7000_2.pkl,data/test_7000_2.pkl,1,0.7857,19.8801,0.3937,7000,2
